iteration,npv,positive_npv
1,910950.6615198872,1
2,1136243.9857947505,1
3,888215.4097252756,1
4,917459.9018298043,1
5,977297.2832674365,1
6,656733.8801419302,1
7,932407.4922961156,1
8,805509.0466669642,1
9,692563.4615498793,1
10,677359.8993104681,1
11,394600.68869834836,1
12,692940.1128808141,1
13,-160914.95915622998,0
14,846937.3889986674,1
15,711924.9330536027,1
16,1156409.462644423,1
17,599450.9285450936,1
18,121290.89315951662,1
19,750815.6298200311,1
20,1111470.115587681,1
21,1921379.1422138624,1
22,1072705.5011283397,1
23,789915.9120151338,1
24,1928296.2522440387,1
25,-205855.14109201648,0
26,759440.6454569008,1
27,-20020.654909946374,0
28,68735.04929246427,1
29,1264407.7199168298,1
30,825075.037157185,1
31,1018438.8154429328,1
32,1206473.0787902768,1
33,834418.0036706834,1
34,965816.7953233782,1
35,584279.5230604142,1
36,311615.17875527404,1
37,558215.7435129114,1
38,1411036.9008062151,1
39,107925.00205462414,1
40,1018468.7550333603,1
41,800845.3077794623,1
42,957588.5095372779,1
43,413439.9003414238,1
44,1201121.540344009,1
45,932661.754569383,1
46,479144.64259865857,1
47,613441.0333964821,1
48,813862.1281440658,1
49,323396.8467198926,1
50,444878.9470323853,1
51,1803357.9079064275,1
52,644440.9873874905,1
53,1083344.2946913633,1
54,804847.1739973002,1
55,415385.6151277453,1
56,819578.4275354506,1
57,1824220.8802856454,1
58,653002.032072011,1
59,976468.5288650435,1
60,940318.0900780931,1
61,579836.0605551999,1
62,474418.19998248084,1
63,746919.5969979416,1
64,1380191.7600646839,1
65,1091529.9832715304,1
66,746206.5677715011,1
67,1651195.906712287,1
68,604312.2316438381,1
69,1548617.6596716815,1
70,645210.3794908514,1
71,193487.70275706355,1
72,208195.03386875405,1
73,646642.067054454,1
74,687582.9710002253,1
75,314207.967417564,1
76,1158453.371470063,1
77,1747664.1199399638,1
78,545762.1823483052,1
79,908281.8664157996,1
80,698769.4457543831,1
81,855324.2048037369,1
82,831109.4286950664,1
83,223149.97301277425,1
84,217086.09113890398,1
85,724304.06237553,1
86,1187163.8665468714,1
87,1017360.5541171415,1
88,338715.7700923446,1
89,1196157.6231874062,1
90,1384429.17837243,1
91,564882.1777275257,1
92,667338.3190662193,1
93,1238911.9818115728,1
94,1373427.33030253,1
95,1211673.3040606012,1
96,655246.239064297,1
97,665436.674053822,1
98,1115979.0266074843,1
99,10932.483852128033,1
100,827200.2177412749,1
101,344377.01347965,1
102,1309247.3980015551,1
103,1286336.3199826726,1
104,-29676.011270112474,0
105,1441141.2710231356,1
106,1219215.0860482901,1
107,961755.5074668743,1
108,1136313.354284171,1
109,941621.6957660697,1
110,874219.8972349027,1
111,-82527.04164375947,0
112,1062572.2508415799,1
113,1034008.4913849893,1
114,510416.80720399274,1
115,1270175.073224408,1
116,877820.2789812207,1
117,845813.3298985412,1
118,276106.9084898662,1
119,875940.5094624908,1
120,1731106.973990335,1
121,706867.4061753744,1
122,770167.3798520457,1
123,1183579.8832893604,1
124,1382189.5686322693,1
125,-105432.40704418416,0
126,754175.204710999,1
127,2168070.3950984925,1
128,943790.3127096352,1
129,576028.6229066437,1
130,882551.4267197307,1
131,1007784.6002830192,1
132,544854.0038950219,1
133,221501.25964440603,1
134,192028.198451048,1
135,759579.459081282,1
136,962848.2957046636,1
137,411542.338381805,1
138,399979.61319013167,1
139,1133902.9743193416,1
140,245017.50339262024,1
141,492333.8064933156,1
142,606120.2533951422,1
143,1655404.0620474548,1
144,1433113.2940981798,1
145,670128.7363979744,1
146,1011047.8829428661,1
147,1239121.7674567052,1
148,1292319.275700544,1
149,486099.07606310456,1
150,411566.444481159,1
151,843982.3869789238,1
152,725711.8777606976,1
153,1514720.9564847792,1
154,282457.59776908543,1
155,897749.9411535535,1
156,1458878.9972971543,1
157,465033.72229636565,1
158,1489956.9868119424,1
159,498692.2740895031,1
160,1526903.473799322,1
161,695198.9423687139,1
162,288423.03321287327,1
163,815619.9398659184,1
164,189665.81017642329,1
165,1021877.1151294599,1
166,1877489.4433815482,1
167,1083950.7776087148,1
168,335546.7124761434,1
169,1466250.834718409,1
170,1119888.3209847878,1
171,-172546.10372375126,0
172,1625528.2452875902,1
173,435434.93988688325,1
174,1167242.1834403225,1
175,2060211.071458867,1
176,849049.0550017059,1
